"","park","order","labels","metgrp","sign","num_crit","park_reggrp","label_order","park_dm","park_ord"
"192","THST",8,"Sorensen Seedling","Regen. Status","critical",7,"Imminent Failure","Sorensen Seedling","THST","THST"
"193","THST",10,"Tree BA","Native Canopy 
 Trends","nonsign",7,"Imminent Failure","Tree BA","THST","THST"
"194","THST",11,"Tree Density","Native Canopy 
 Trends","nonsign",7,"Imminent Failure","Tree Density","THST","THST"
"195","THST",12,"Sapling BA","Native Canopy 
 Trends","nonsign",7,"Imminent Failure","Sapling BA","THST","THST"
"196","THST",13,"Sapling Density","Native Canopy 
 Trends","nonsign",7,"Imminent Failure","Sapling Density","THST","THST"
"197","THST",14,"Seedling Density","Native Canopy 
 Trends","nonsign",7,"Imminent Failure","Seedling Density","THST","THST"
"198","THST",15,"Stocking Index","Native Canopy 
 Trends","nonsign",7,"Imminent Failure","Stocking Index","THST","THST"
"199","THST",16,"Tree BA","Native Subcan. 
 Trends","nonsign",7,"Imminent Failure","Tree BA","THST","THST"
"200","THST",17,"Tree Density","Native Subcan. 
 Trends","nonsign",7,"Imminent Failure","Tree Density","THST","THST"
"201","THST",18,"Sapling BA","Native Subcan. 
 Trends","nonsign",7,"Imminent Failure","Sapling BA","THST","THST"
"202","THST",19,"Sapling Density","Native Subcan. 
 Trends","signinc_good",7,"Imminent Failure","Sapling Density","THST","THST"
"203","THST",20,"Seedling Density","Native Subcan. 
 Trends","nonsign",7,"Imminent Failure","Seedling Density","THST","THST"
"204","THST",21,"Tree BA","Exotic 
 Trends","notmod",7,"Imminent Failure","Tree BA","THST","THST"
"205","THST",22,"Tree Density","Exotic 
 Trends","notmod",7,"Imminent Failure","Tree Density","THST","THST"
"206","THST",23,"Sapling BA","Exotic 
 Trends","notmod",7,"Imminent Failure","Sapling BA","THST","THST"
"207","THST",24,"Sapling Density","Exotic 
 Trends","notmod",7,"Imminent Failure","Sapling Density","THST","THST"
"208","THST",25,"Seedling Density","Exotic 
 Trends","notmod",7,"Imminent Failure","Seedling Density","THST","THST"
"209","CHOH",1,"Sapling Density","Regen. Status","critical",6,"Imminent Failure","Sapling Density","CHOH*","CHOH*"
"210","CHOH",2,"Seedling Density","Regen. Status","critical",6,"Imminent Failure","Seedling Density","CHOH*","CHOH*"
"211","CHOH",3,"% Stocked Plots","Regen. Status","critical",6,"Imminent Failure","% Stocked Plots","CHOH*","CHOH*"
"212","CHOH",4,"Stocking Index","Regen. Status","critical",6,"Imminent Failure","Stocking Index","CHOH*","CHOH*"
"213","CHOH",9,"Deer Browse Impacts","Regen. Status","caution",6,"Imminent Failure","Deer Browse Impacts","CHOH*","CHOH*"
"214","CHOH",10,"Flat Tree Diam. Dist.","Regen. Status","acceptable",6,"Imminent Failure","Flat Tree Diam. Dist.","CHOH*","CHOH*"
"215","CHOH",5,"Sapling Composition","Regen. Status","critical",6,"Imminent Failure","Sapling Composition","CHOH*","CHOH*"
"216","CHOH",6,"Seedling Composition","Regen. Status","critical",6,"Imminent Failure","Seedling Composition","CHOH*","CHOH*"
"217","CHOH",7,"Sorensen Sapling","Regen. Status","acceptable",6,"Imminent Failure","Sorensen Sapling","CHOH*","CHOH*"
"218","CHOH",8,"Sorensen Seedling","Regen. Status","acceptable",6,"Imminent Failure","Sorensen Seedling","CHOH*","CHOH*"
"219","CHOH",10,"Tree BA","Native Canopy 
 Trends","signinc_good",6,"Imminent Failure","Tree BA","CHOH*","CHOH*"
"220","CHOH",11,"Tree Density","Native Canopy 
 Trends","nonsign",6,"Imminent Failure","Tree Density","CHOH*","CHOH*"
"221","CHOH",12,"Sapling BA","Native Canopy 
 Trends","signdec_bad",6,"Imminent Failure","Sapling BA","CHOH*","CHOH*"
"222","CHOH",13,"Sapling Density","Native Canopy 
 Trends","signdec_bad",6,"Imminent Failure","Sapling Density","CHOH*","CHOH*"
